frame_id,label
0,SAFE
15,SAFE
30,SAFE
45,SAFE
60,SAFE
75,SAFE
90,SAFE
105,SAFE
120,RISKY
135,RISKY
150,RISKY
165,RISKY
180,RISKY
195,RISKY
210,RISKY
225,RISKY
240,RISKY
255,RISKY
270,RISKY
285,RISKY
300,RISKY
315,RISKY
330,RISKY
345,RISKY
360,SAFE
375,SAFE
390,SAFE
405,SAFE
420,SAFE
435,RISKY
450,RISKY
465,RISKY
480,RISKY
495,RISKY
510,RISKY
525,RISKY
540,RISKY
555,RISKY
570,RISKY
585,RISKY
600,RISKY
615,RISKY
630,RISKY
645,RISKY
660,RISKY
675,RISKY
690,SAFE
705,SAFE
720,SAFE
735,SAFE
750,SAFE
765,SAFE
780,RISKY
795,RISKY
810,RISKY
825,RISKY
840,RISKY
855,SAFE
870,SAFE
885,RISKY
900,RISKY
915,RISKY
930,RISKY
945,RISKY
960,RISKY
975,RISKY
990,RISKY
1005,RISKY
1020,RISKY
1035,RISKY
1050,RISKY
1065,RISKY
1080,RISKY
1095,RISKY
1110,RISKY
1125,RISKY
1140,RISKY
1155,RISKY
1170,RISKY
1185,RISKY
1200,RISKY
1215,RISKY
1230,RISKY
1245,RISKY
1260,RISKY
1275,RISKY
1290,RISKY
1305,RISKY
1320,RISKY
1335,SAFE
1350,SAFE
1365,SAFE
1380,SAFE
1395,SAFE
1410,SAFE
1425,SAFE
1440,SAFE
1455,SAFE
1470,RISKY
1485,RISKY
1500,RISKY
1515,RISKY
1530,SAFE
1545,SAFE
1560,SAFE
1575,SAFE
1590,SAFE
1605,RISKY
1620,RISKY
1635,RISKY
1650,RISKY
1665,RISKY
1680,SAFE
1695,SAFE
1710,SAFE
1725,SAFE
1740,SAFE
1755,SAFE
1770,SAFE
1785,SAFE
1800,RISKY
1815,RISKY
1830,RISKY
1845,RISKY
1860,RISKY
1875,RISKY
1890,SAFE
1905,SAFE
1920,RISKY
1935,RISKY
1950,RISKY
1965,RISKY
1980,RISKY
1995,SAFE
2010,SAFE
2025,SAFE
2040,SAFE
2055,SAFE
2070,SAFE
2085,SAFE
2100,SAFE
2115,SAFE
2130,RISKY
2145,RISKY
2160,RISKY
2175,RISKY
2190,RISKY
2205,RISKY
2220,RISKY
2235,RISKY
2250,RISKY
2265,RISKY
2280,RISKY
2295,RISKY
2310,RISKY
2325,RISKY
2340,RISKY
2355,RISKY
2370,RISKY
2385,RISKY
2400,SAFE
2415,SAFE
2430,SAFE
2445,SAFE
2460,SAFE
2475,SAFE
2490,SAFE
2505,SAFE
2520,RISKY
2535,RISKY
2550,RISKY
2565,RISKY
2580,RISKY
2595,RISKY
2610,RISKY
2625,RISKY
2640,RISKY
2655,RISKY
2670,RISKY
2685,SAFE
2700,SAFE
2715,SAFE
2730,RISKY
2745,RISKY
2760,RISKY
2775,RISKY
2790,RISKY
2805,RISKY
2820,RISKY
2835,RISKY
2850,RISKY
2865,RISKY
2880,RISKY
2895,RISKY
2910,SAFE
2925,SAFE
2940,SAFE
2955,SAFE
2970,SAFE
